,MODEL,STARTUP,SHUTDOWN,NCOST,COST_2,COST_1,COST_0
GenCo0,2,0.0,0,2,0.0,205.73678873532896,0.0
GenCo1,2,0.0,0,2,0.0,251.96809658009738,0.0
GenCo2,2,0.0,0,2,0.0,250.82876551474072,0.0
GenCo3,2,0.0,0,2,0.0,248.1204413251918,0.0
GenCo4,2,0.0,0,2,0.0,233.19712894565615,0.0
GenCo5,2,0.0,0,2,0.0,242.69324207483626,0.0
GenCo6,2,0.0,0,2,0.0,247.56551763171842,0.0
GenCo7,2,0.0,0,2,0.0,247.9445869618867,0.0
GenCo8,2,0.0,0,2,0.0,238.66946704176706,0.0
GenCo9,2,0.0,0,2,0.0,251.9764108381799,0.0
GenCo10,2,0.0,0,2,0.0,233.43443711704435,0.0
GenCo11,2,0.0,0,2,0.0,244.27009812938164,0.0
GenCo12,2,0.0,0,2,0.0,232.5317033672014,0.0
GenCo13,2,0.0,0,2,0.0,251.81266633566824,0.0
GenCo14,2,0.0,0,2,0.0,246.32125886709335,0.0
GenCo15,2,0.0,0,2,0.0,241.7122960353416,0.0
GenCo16,2,0.0,0,2,0.0,243.57518736851168,0.0
GenCo17,2,0.0,0,2,0.0,242.6803072376174,0.0
GenCo18,2,0.0,0,2,0.0,241.7720250919499,0.0
GenCo19,2,0.0,0,2,0.0,238.16922818049846,0.0
GenCo20,2,0.0,0,2,0.0,232.91557362465826,0.0
GenCo21,2,0.0,0,2,0.0,248.46125585276437,0.0
GenCo22,2,0.0,0,2,0.0,233.4973328520922,0.0
GenCo23,2,0.0,0,2,0.0,228.98190961400582,0.0
GenCo24,2,0.0,0,2,0.0,243.9400979283534,0.0
GenCo25,2,0.0,0,2,0.0,232.14169547601054,0.0
GenCo26,2,0.0,0,2,0.0,241.19888087932526,0.0
GenCo27,2,0.0,0,2,0.0,244.64713669804271,0.0
GenCo28,2,0.0,0,2,0.0,236.3242299332482,0.0
GenCo29,2,0.0,0,2,0.0,228.81178126224705,0.0
GenCo30,2,0.0,0,2,0.0,228.15646360480164,0.0
GenCo31,2,0.0,0,2,0.0,96.71331930560636,0.0
GenCo32,2,0.0,0,2,0.0,203.065992867758,0.0
GenCo33,2,0.0,0,2,0.0,198.58365235178758,0.0
GenCo34,2,0.0,0,2,0.0,200.8168628851761,0.0
GenCo35,2,0.0,0,2,0.0,192.55697105707011,0.0
GenCo36,2,0.0,0,2,0.0,189.20423936008015,0.0
GenCo37,2,0.0,0,2,0.0,203.84805446840141,0.0
GenCo38,2,0.0,0,2,0.0,189.99550134781788,0.0
GenCo39,2,0.0,0,2,0.0,200.59591117169407,0.0
GenCo40,2,0.0,0,2,0.0,203.6202246896922,0.0
GenCo41,2,0.0,0,2,0.0,206.89522290014426,0.0
GenCo42,2,0.0,0,2,0.0,189.793453157576,0.0
GenCo43,2,0.0,0,2,0.0,189.1396858496831,0.0
GenCo44,2,0.0,0,2,0.0,204.17975506253939,0.0
GenCo45,2,0.0,0,2,0.0,201.13081932524676,0.0
GenCo46,2,0.0,0,2,0.0,190.0570889132034,0.0
GenCo47,2,0.0,0,2,0.0,203.26371110976294,0.0
GenCo48,2,0.0,0,2,0.0,206.30183632028377,0.0
GenCo49,2,0.0,0,2,0.0,191.01001326945328,0.0
GenCo50,2,0.0,0,2,0.0,203.4870803929328,0.0
GenCo51,2,0.0,0,2,0.0,192.70577279159565,0.0
GenCo52,2,0.0,0,2,0.0,193.5857224901787,0.0
GenCo53,2,0.0,0,2,0.0,199.2137320207326,0.0
GenCo54,2,0.0,0,2,0.0,201.3015161477246,0.0
GenCo55,2,0.0,0,2,0.0,195.25617930416837,0.0
GenCo56,2,0.0,0,2,0.0,203.70134697679364,0.0
GenCo57,2,0.0,0,2,0.0,198.9191711955252,0.0
GenCo58,2,0.0,0,2,0.0,188.96159267023037,0.0
GenCo59,2,0.0,0,2,0.0,191.7376744684247,0.0
