,MODEL,STARTUP,SHUTDOWN,NCOST,COST_2,COST_1,COST_0
GenCo0,2,0.0,0,2,0.0,1.9663988910749468,0.0
GenCo1,2,0.0,0,2,0.0,1.9076509451786177,0.0
GenCo2,2,0.0,0,2,0.0,1.0136666619416412,0.0
GenCo3,2,0.0,0,2,0.0,2.088720384709924,0.0
GenCo4,2,0.0,0,2,0.0,1.9263282340808927,0.0
GenCo5,2,0.0,0,2,0.0,1.0287977996230473,0.0
GenCo6,2,0.0,0,2,0.0,1.9690848520409425,0.0
GenCo7,2,0.0,0,2,0.0,2.0894811449277224,0.0
GenCo8,2,0.0,0,2,0.0,1.938698191832877,0.0
GenCo9,2,0.0,0,2,0.0,1.0014688167038386,0.0
GenCo10,2,0.0,0,2,0.0,1.037138136986838,0.0
GenCo11,2,0.0,0,2,0.0,1.929229307708645,0.0
GenCo12,2,0.0,0,2,0.0,1.9603377153908599,0.0
GenCo13,2,0.0,0,2,0.0,0.973596338903353,0.0
GenCo14,2,0.0,0,2,0.0,1.9842853558142826,0.0
GenCo15,2,0.0,0,2,0.0,0.9998768405171354,0.0
GenCo16,2,0.0,0,2,0.0,1.0362181358896754,0.0
GenCo17,2,0.0,0,2,0.0,2.031650050630586,0.0
GenCo18,2,0.0,0,2,0.0,1.923848251939287,0.0
GenCo19,2,0.0,0,2,0.0,0.9600648563748497,0.0
GenCo20,2,0.0,0,2,0.0,1.0074546717214246,0.0
GenCo21,2,0.0,0,2,0.0,0.9785678745406273,0.0
GenCo22,2,0.0,0,2,0.0,2.0352592446935494,0.0
GenCo23,2,0.0,0,2,0.0,0.9501933933454898,0.0
GenCo24,2,0.0,0,2,0.0,0.969593658728494,0.0
GenCo25,2,0.0,0,2,0.0,0.9501599250314512,0.0
GenCo26,2,0.0,0,2,0.0,1.019177490384245,0.0
GenCo27,2,0.0,0,2,0.0,0.9851616015268656,0.0
GenCo28,2,0.0,0,2,0.0,0.9717989848123547,0.0
GenCo29,2,0.0,0,2,0.0,0.9898030257566331,0.0
GenCo30,2,0.0,0,2,0.0,1.9217407939994844,0.0
GenCo31,2,0.0,0,2,0.0,2.064129235904372,0.0
GenCo32,2,0.0,0,2,0.0,1.9993983973214693,0.0
GenCo33,2,0.0,0,2,0.0,1.9685865158418816,0.0
GenCo34,2,0.0,0,2,0.0,0.9646154439409693,0.0
