,MODEL,STARTUP,SHUTDOWN,NCOST,COST_2,COST_1,COST_0
GenCo0,2,0.0,0,2,0.0,2.0484010260029164,0.0
GenCo1,2,0.0,0,2,0.0,2.0235578214499443,0.0
GenCo2,2,0.0,0,2,0.0,1.0203705665070308,0.0
GenCo3,2,0.0,0,2,0.0,1.9438922594203953,0.0
GenCo4,2,0.0,0,2,0.0,2.0481272437760847,0.0
GenCo5,2,0.0,0,2,0.0,1.0459656895820535,0.0
GenCo6,2,0.0,0,2,0.0,2.0400265841379372,0.0
GenCo7,2,0.0,0,2,0.0,2.0760219109421363,0.0
GenCo8,2,0.0,0,2,0.0,1.988952037059477,0.0
GenCo9,2,0.0,0,2,0.0,0.9529301738945084,0.0
GenCo10,2,0.0,0,2,0.0,0.9731724620109731,0.0
GenCo11,2,0.0,0,2,0.0,2.0352331075816377,0.0
GenCo12,2,0.0,0,2,0.0,1.9620248528098156,0.0
GenCo13,2,0.0,0,2,0.0,0.9925843855945072,0.0
GenCo14,2,0.0,0,2,0.0,1.9472669469419723,0.0
GenCo15,2,0.0,0,2,0.0,1.0104444176753156,0.0
GenCo16,2,0.0,0,2,0.0,0.9633577446072409,0.0
GenCo17,2,0.0,0,2,0.0,1.9273481635597804,0.0
GenCo18,2,0.0,0,2,0.0,2.0802670670456336,0.0
GenCo19,2,0.0,0,2,0.0,1.020681636032895,0.0
GenCo20,2,0.0,0,2,0.0,0.997805883124121,0.0
GenCo21,2,0.0,0,2,0.0,1.0035685010693118,0.0
GenCo22,2,0.0,0,2,0.0,2.009717546857185,0.0
GenCo23,2,0.0,0,2,0.0,1.0153706446950688,0.0
GenCo24,2,0.0,0,2,0.0,0.9978575406817702,0.0
GenCo25,2,0.0,0,2,0.0,1.0353837389102285,0.0
GenCo26,2,0.0,0,2,0.0,0.9582714375623335,0.0
GenCo27,2,0.0,0,2,0.0,0.9716315323089261,0.0
GenCo28,2,0.0,0,2,0.0,1.0115438173413904,0.0
GenCo29,2,0.0,0,2,0.0,1.0011087385576707,0.0
GenCo30,2,0.0,0,2,0.0,1.94533008565817,0.0
GenCo31,2,0.0,0,2,0.0,2.046224626952927,0.0
GenCo32,2,0.0,0,2,0.0,1.9347196489503888,0.0
GenCo33,2,0.0,0,2,0.0,2.0358218382177755,0.0
