datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,AEP,12876
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,DUQ,1370
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,DOM,10070
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,COMED,10197
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,DAYTON,1644
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,FE,6546
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,DEOK,2589
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,EKPC,1437
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,PJME,26879
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,PJMW,5007
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,AEP,12591
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,DUQ,1336
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,DOM,9815
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,COMED,9893
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,DAYTON,1608
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,FE,6374
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,DEOK,2555
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,EKPC,1402
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,PJME,25848
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,PJMW,4882
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,AEP,12487
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,DUQ,1312
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,DOM,9613
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,COMED,9654
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,DAYTON,1584
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,FE,6214
